Comment,Designator,Footprint,LCSC
"4.7u","C2,C9","Capacitor_SMD:C_0805_2012Metric",""
"1u","C6","Capacitor_SMD:C_0805_2012Metric",""
"100n","C1,C3,C4,C5,C7,C8","Capacitor_SMD:C_0805_2012Metric",""
"WS2812B-2020","D1","barn53-kicad:WS2812B-2020",""
"IPSDisplay_240x240","D2","barn53-kicad:IPSDisplay_240x240_FPC_80deg",""
"USB_B_Micro","J1","barn53-kicad:MicroUSB_through_hole_fixing",""
"PUMX1","Q1","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"S8050_J3Y","Q2","Package_TO_SOT_SMD:SOT-23","C364312"
"10k","R1,R3","Resistor_SMD:R_Array_Convex_4x0603",""
"10","R4","Resistor_SMD:R_0805_2012Metric",""
"10k","R5,R7","Resistor_SMD:R_0805_2012Metric",""
"1k","R6","Resistor_SMD:R_0805_2012Metric",""
"ESP-12E","U1","barn53-kicad:ESP-12E",""
"CP2102-GMR_NRND","U2","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",""
"BL8565","U3","Package_TO_SOT_SMD:SOT-89-3",""
"74AHC1G08","U4","Package_TO_SOT_SMD:SOT-353_SC-70-5",""
